,item_id,labels,en,es-CO,de,context,translation_time
795,same-different-selection-touch-medium,same-different-selection,Choose the card with a medium-sized shape.,Escoge la carta que tiene una figura mediana.,Wähle die Karte mit einer mittelgroßen Form.,"same-different-selection-touch-medium
Final es-co & de translation review complete
Sheet: translation-items-v2",
796,same-different-selection-touch-large,same-different-selection,Choose the card with a large shape.,Escoge la carta que tiene una figura grande.,Wähle die Karte mit einer großen Form.,"same-different-selection-touch-large
Final es-co & de translation review complete
Sheet: translation-items-v2",
797,same-different-selection-touch-white,same-different-selection,Choose the star on the white card.,Escoge la estrella en la carta blanca.,Wähle den Stern auf der weißen Karte.,"same-different-selection-touch-white
Final es-co & de translation review complete
Sheet: translation-items-v2",
798,same-different-selection-touch-gray,same-different-selection,Choose the star on the gray card.,Escoge la estrella en la carta gris.,Wähle den Stern auf der grauen Karte.,"same-different-selection-touch-gray
Final es-co & de translation review complete
Sheet: translation-items-v2",
799,same-different-selection-touch-black,same-different-selection,Choose the star on the black card.,Escoge la estrella en la carta negra.,Wähle den Stern auf der schwarzen Karte.,"same-different-selection-touch-black
Final es-co & de translation review complete
Sheet: translation-items-v2",
800,same-different-selection-touch-striped,same-different-selection,Choose the star on the striped card.,Escoge la estrella en la carta con rayas.,Wähle den Stern auf der gestreiften Karte.,"same-different-selection-touch-striped
Final es-co & de translation review complete
Sheet: translation-items-v2",
801,same-different-selection-touch-1,same-different-selection,Choose the card with 1 star.,Escoge la carta con 1 estrella.,Wähle die Karte mit einem Stern.,"same-different-selection-touch-1
Final es-co & de translation review complete
Sheet: translation-items-v2",
802,same-different-selection-touch-2,same-different-selection,Choose the card with 2 stars.,Escoge la carta con 2 estrellas.,Wähle die Karte mit zwei Sternen.,"same-different-selection-touch-2
Final es-co & de translation review complete
Sheet: translation-items-v2",
803,same-different-selection-touch-3,same-different-selection,Choose the card with 3 stars.,Escoge la carta con 3 estrellas.,Wähle die Karte mit drei Sternen.,"same-different-selection-touch-3
Final es-co & de translation review complete
Sheet: translation-items-v2",
804,same-different-selection-touch-4,same-different-selection,Choose the card with 4 stars.,Escoge la carta con 4 estrellas.,Wähle die Karte mit vier Sternen.,"same-different-selection-touch-4
Final es-co & de translation review complete
Sheet: translation-items-v2",
805,same-different-selection-instruct2,same-different-selection,Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.,Ahora vas a ver dos cartas que son iguales de alguna manera. Luego vas a ver una nueva carta que se parece a una de esas cartas. Tu trabajo es elegir la carta que se parece en algo a esa nueva carta.,"Jetzt siehst du zwei Karten, die in einer Hinsicht gleich sind. Dann siehst du eine neue Karte, die einer der ersten beiden Karten ähnlich ist. Deine Aufgabe ist es, die Karte zu wählen, die der neuen Karte ähnlich ist.","same-different-selection-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2",
806,same-different-selection-instruct3,same-different-selection,"Now you're going to see three cards, and you're going to choose two that are the same in some way. Then you're going to see the same cards again, and pick two cards that are the same in a different way.","Ahora vas a ver tres cartas y debes escoger dos que sean iguales de alguna manera. Luego vas a ver las mismas tres cartas, pero  vas a escoger otras dos cartas que sean iguales de alguna otra manera.","Jetzt siehst du drei Karten und wählst zwei aus, die auf irgendeine Weise gleich sind. Dann siehst du dieselben Karten noch einmal und wählst zwei Karten aus, die auf eine andere Weise gleich sind.","same-different-selection-instruct3
Final es-co & de translation review complete
Sheet: translation-items-v2",
807,same-different-selection-both-circles,same-different-selection,Here are two cards. Something's the same. They both have circles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen círculos.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Kreise.,"same-different-selection-both-circles
Final es-co & de translation review complete
Sheet: translation-items-v2",
808,same-different-selection-both-squares,same-different-selection,Here are two cards. Something's the same. They both have squares.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen cuadrados.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Quadrate.,"same-different-selection-both-squares
Final es-co & de translation review complete
Sheet: translation-items-v2",
809,same-different-selection-both-triangles,same-different-selection,Here are two cards. Something's the same. They both have triangles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen triángulos.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Dreiecke.,"same-different-selection-both-triangles
Final es-co & de translation review complete
Sheet: translation-items-v2",
810,same-different-selection-both-red,same-different-selection,Here are two cards. Something's the same. They both have red shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras rojas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Formen.,"same-different-selection-both-red
Final es-co & de translation review complete
Sheet: translation-items-v2",
811,same-different-selection-both-green,same-different-selection,Here are two cards. Something's the same. They both have green shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras verdes.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen grüne Formen.,"same-different-selection-both-green
Final es-co & de translation review complete
Sheet: translation-items-v2",
812,same-different-selection-both-yellow,same-different-selection,Here are two cards. Something's the same. They both have yellow shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras amarillas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen gelbe Formen.,"same-different-selection-both-yellow
Final es-co & de translation review complete
Sheet: translation-items-v2",
813,same-different-selection-both-blue,same-different-selection,Here are two cards. Something's the same. They both have blue shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras azules.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen blaue Formen.,"same-different-selection-both-blue
Final es-co & de translation review complete
Sheet: translation-items-v2",
814,same-different-selection-both-small,same-different-selection,Here are two cards. Something's the same. They both have small shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras pequeñas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen kleine Formen.,"same-different-selection-both-small
Final es-co & de translation review complete
Sheet: translation-items-v2",
815,same-different-selection-both-medium,same-different-selection,Here are two cards. Something's the same. They both have medium-sized shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras medianas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen mittelgroße Formen.,"same-different-selection-both-medium
Final es-co & de translation review complete
Sheet: translation-items-v2",
816,same-different-selection-both-large,same-different-selection,Here are two cards. Something's the same. They both have large shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras grandes.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen große Formen.,"same-different-selection-both-large
Final es-co & de translation review complete
Sheet: translation-items-v2",
817,sds-prompt3,same-different-selection,Here is another card. Which of these is similar to this one?,Aquí hay otra carta. ¿Cuál de estas tiene algo que es igual a esta?,Hier ist eine weitere Karte. Welche Karte sieht dieser ähnlich? ,"sds-prompt3
Final es-co & de translation review complete
Sheet: translation-items-v2",
818,sds-3match-prompt2,same-different-selection,Here is the same set of cards again. Choose two cards that are the same in a different way.,Aquí están otra vez las mismas cartas. Ahora debe escoger dos cartas que sean pareja porque son iguales en algo diferente.,"Hier siehst du die gleichen Karten nochmal. Wähle zwei Bilder aus, die auf unterschiedliche Art und Weise gleich sind.","sds-3match-prompt2
Final es-co & de translation review complete
Sheet: translation-items-v2",
819,sds-2match-prompt1,same-different-selection,Here is a new set of cards. Choose two cards that are the same in some way.,Aquí hay un nuevo grupo de cartas. Escoge dos cartas que sean iguales en algún aspecto. ,"Hier sind neue Karten. Wähle zwei Karten aus, die in irgendeiner Weise gleich sind.","sds-2match-prompt1
Final es-co & de translation review complete
Sheet: translation-items-v2",
820,sds-2match-prompt2,same-different-selection,Choose two cards that are the same in a different way.,Escoge dos cartas que sean pareja porque son iguales en algo diferente. ,"Wähle zwei Karten, die auf unterschiedliche Weise gleich sind.","sds-2match-prompt2
Final es-co & de translation review complete
Sheet: translation-items-v2",
821,sds-3unique-prompt1,same-different-selection,Choose three cards that are the same in only one way.,Escoge tres cartas que sean iguales en un solo aspecto. ,"Wähle drei Karten aus, die in irgendeiner Weise gleich sind.","sds-3unique-prompt1
Final es-co & de translation review complete
Sheet: translation-items-v2",
822,sds-3unique-prompt2,same-different-selection,Choose another three cards that are the same in only one way.,Escoge otras tres cartas que sean iguales en un solo aspecto.,"Wähle drei weitere Karten aus, die auf unterschiedliche Art und Weise gleich sind.","sds-3unique-prompt2
Final es-co & de translation review complete
Sheet: translation-items-v2",
823,memory-game-display,memory-game,Watch the squares light up.,Observa se iluminan los cuadrados.,"Beobachte, wie die Quadrate aufleuchten.","memory-game-display
Final es-co & de translation review complete
Sheet: translation-items-v2",
824,memory-game-input,memory-game,Touch the squares in the same order.,Toca los cuadrados en el mismo orden.,Berühre die Quadrate in der gleichen Reihenfolge.,"memory-game-input
Final es-co & de translation review complete
Sheet: translation-items-v2",
825,memory-game-instruct1,memory-game,This is the memory game. Here's how you play it.,Este es el juego de la memoria. Las reglas son las siguientes.,Das ist ein Memory-Spiel. Ich erkläre dir jetzt wie das Memory-Spiel funktioniert.,"memory-game-instruct1
Final es-co & de translation review complete
Sheet: translation-items-v2",
826,memory-game-instruct2,memory-game,You will see squares light up.,Verás que los cuadrados se iluminan.,"Du wirst sehen, dass Quadrate aufleuchten.","memory-game-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2",
827,memory-game-instruct3,memory-game,You're going to touch the squares in the same order.,Vas a tocar los cuadrados en el mismo orden.,Du musst die Quadrate in der gleichen Reihenfolge berühren.,"memory-game-instruct3
Final es-co & de translation review complete
Sheet: translation-items-v2",
828,memory-game-instruct4,memory-game,Watch carefully! Try to remember the order.,¡Observa con atención! Intenta recordar el orden.,"Pass gut auf! Versuche, dir die Reihenfolge zu merken.","memory-game-instruct4
Final es-co & de translation review complete
Sheet: translation-items-v2",
829,memory-game-forward-prompt,memory-game,Choose the squares in the same order.,Escoge los cuadrados en el mismo orden.,Wähle die Quadrate in der gleichen Reihenfolge.,"memory-game-forward-prompt
Final es-co & de translation review complete
Sheet: translation-items-v2",
830,memory-game-forward-try-again,memory-game,That's not right. Try again. Choose the squares in the same order.,La respuesta no es correcta.  Inténtalo de nuevo. Escoge los cuadrados en el mismo orden.,Das ist nicht richtig. Versuch es noch einmal. Wähle die Quadrate in der gleichen Reihenfolge.,"memory-game-forward-try-again

Sheet: translation-items-v2",
831,memory-game-instruct5,memory-game,This time the game won't tell you if you're right or wrong. Let’s start playing the memory game!,Esta vez el juego no te dirá si la respuesta es correcta o no. ¡Empecemos a jugar al juego de memoria!,"Dieses Mal wird dir das Spiel nicht sagen, ob du richtig oder falsch liegst. Los geht's mit dem Memory-Spiel!","memory-game-instruct5
Final es-co & de translation review complete
Sheet: translation-items-v2",
832,memory-game-instruct7,memory-game,Let’s start playing the memory game!,¡Empecemos a jugar al juego de memoria!,Los geht's mit dem Memory-Spiel!,"memory-game-instruct7
Final es-co & de translation review complete
Sheet: translation-items-v2",
833,memory-game-backward-prompt,memory-game,Choose the squares in the backward order.,Escoge los cuadrados en orden inverso.,Wähle die Quadrate in der umgekehrten Reihenfolge.,"memory-game-backward-prompt
Final es-co & de translation review complete
Sheet: translation-items-v2",
834,memory-game-backward-try-again,memory-game,That's not right. Try again. Choose the squares in the backward order.,La respuesta no es correcta.  Inténtalo de nuevo. Escoge los cuadrados en orden inverso.,Das ist nicht richtig. Versuch es noch einmal. Wähle die Quadrate in der umgekehrten Reihenfolge.,"memory-game-backward-try-again

Sheet: translation-items-v2",
835,heart-instruct1,hearts-and-flowers,This is the heart game. Here's how you play it.,Este es el juego del corazón. Las reglas son las siguientes.,Das ist das Herzspiel. Ich erkläre dir jetzt wie das Herzspiel funktioniert.,"heart-instruct1
Final es-co & de translation review complete
Sheet: translation-items-v2",
836,heart-instruct2,hearts-and-flowers,"When you see a heart, press the button on the same side.","Cuando veas un corazón, presiona el botón del mismo lado.","Wenn du ein Herz siehst, drücke den Knopf auf der gleichen Seite.","heart-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2",
837,hearts-and-flowers-try-again,hearts-and-flowers,That's not right. Try again.,La respuesta no es correcta.  Inténtalo de nuevo.,Das ist nicht richtig. Versuch es noch einmal.,"hearts-and-flowers-try-again
Final es-co & de translation review complete
Sheet: translation-items-v2",
838,heart-practice-feedback1,hearts-and-flowers,The heart is on the right side. Press the right button.,El corazón está en el lado derecho. Presiona el botón derecho.,Das Herz befindet sich auf der rechten Seite. Drücke die rechte Taste.,"heart-practice-feedback1
Final es-co & de translation review complete
Sheet: translation-items-v2",
839,hearts-and-flowers-practice-time,hearts-and-flowers,Time to practice!,¡Es hora de practicar!,Jetzt kannst du üben!,"hearts-and-flowers-practice-time
Final es-co & de translation review complete
Sheet: translation-items-v2",
840,heart-practice-feedback2,hearts-and-flowers,"Remember! When you see a HEART, press the button on the SAME side.","¡Recuerda! Cuando veas un CORAZÓN, presiona el botón del MISMO lado.","Nicht vergessen! Wenn du ein HERZ siehst, drücke den Knopf auf der GLEICHEN Seite.","heart-practice-feedback2
Final es-co & de translation review complete
Sheet: translation-items-v2",
841,hearts-and-flowers-instruct1,hearts-and-flowers,This time the game will go faster. It won't tell you if you are right or wrong. Try to keep up!,Esta vez el juego irá más rápido. No te dirá si la respuesta es correcta o no. ¡Trata de seguir el ritmo!,"Jetzt spielen wir das Spiel schneller. Es wird dir nicht sagen, ob du richtig oder falsch liegst. Versuch hinterherzukommen!","hearts-and-flowers-instruct1
Final es-co & de translation review complete
Sheet: translation-items-v2",
842,hearts-and-flowers-instruct2,hearts-and-flowers,"Try to answer as fast as you can without making mistakes. If you make a mistake, just keep going!","Intenta responder lo más rápido que puedas sin cometer errores. Si cometes un error, ¡sigue adelante!","Versuche, so schnell wie möglich zu antworten, ohne Fehler zu machen. Wenn du einen Fehler machst, mach einfach weiter!","hearts-and-flowers-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2",
843,hearts-and-flowers-play-time,hearts-and-flowers,Time to play!,¡Hora de jugar!,Jetzt geht das Spiel richtig los!,"hearts-and-flowers-play-time
Final es-co & de translation review complete
Sheet: translation-items-v2",
844,flower-instruct1,hearts-and-flowers,This is the flower game. Here's how you play it.,Este es el juego de las flores. Las reglas son las siguientes.,Das ist das Blumenspiel. Ich erkläre dir jetzt wie das Blumenspiel funktioniert.,"flower-instruct1
Final es-co & de translation review complete
Sheet: translation-items-v2",
845,flower-instruct2,hearts-and-flowers,"When you see a flower, press the button on the opposite side.","Cuando veas una flor, presiona el botón del lado opuesto.","Wenn du eine Blume siehst, drückst du den Knopf auf der GEGENÜBERLIEGENDEN Seite.","flower-instruct2
Final es-co & de translation review complete
Sheet: translation-items-v2",
846,flower-practice-feedback1,hearts-and-flowers,The flower is on the left side. Press the right button.,La flor está en el lado izquierdo. Presione el botón derecho.,Die Blume ist auf der linken Seite. Drücke den rechten Knopf.,"flower-practice-feedback1
Final es-co & de translation review complete
Sheet: translation-items-v2",
847,flower-practice-feedback2,hearts-and-flowers,"When you see a FLOWER, press the button on the OPPOSITE side.","Cuando veas una FLOR, presiona el botón en el lado OPUESTO.","Wenn du eine Blume siehst, drücke den Knopf auf der GEGENÜBERLIEGENDEN Seite.","flower-practice-feedback2
Final es-co & de translation review complete
Sheet: translation-items-v2",
848,hearts-and-flowers-instruct3,hearts-and-flowers,"Now, we're going to play a game with hearts and flowers.","Ahora, vamos a jugar un juego con corazones y flores.",Jetzt werden wir ein Spiel mit Herzen und Blumen spielen.,"hearts-and-flowers-instruct3
Final es-co & de translation review complete
Sheet: translation-items-v2",
849,hearts-and-flowers-encourage1,hearts-and-flowers,Try to keep up!,¡Trata de seguir el ritmo!,Versuch hinterherzukommen!,"hearts-and-flowers-encourage1
Final es-co & de translation review complete
Sheet: translation-items-v2",
850,hearts-and-flowers-encourage2,hearts-and-flowers,"If you make a mistake, just keep going!","Si cometes un error, ¡sigue adelante!","Wenn du einen Fehler machst, mach einfach weiter!","hearts-and-flowers-encourage2
Final es-co & de translation review complete
Sheet: translation-items-v2",
851,hearts-and-flowers-end,hearts-and-flowers,Great job! You completed the game!,"¡Bien hecho, has terminado el juego!",Gut gemacht! Dieses Spiel ist jetzt zu Ende.,"hearts-and-flowers-end
Final es-co & de translation review complete
Sheet: translation-items-v2",
852,vocab-item-001,vocab,the acorn,la bellota,die eichel,"vocab-item-001

Sheet: translation-items-v2",
853,vocab-item-002,vocab,the aloe,el áloe,die aloe,"vocab-item-002

Sheet: translation-items-v2",
854,vocab-item-003,vocab,the antenna,la antena,die antenne,"vocab-item-003

Sheet: translation-items-v2",
855,vocab-item-004,vocab,the artichoke,la alcachofa,die artischocke,"vocab-item-004

Sheet: translation-items-v2",
856,vocab-item-005,vocab,the bamboo,el bambú,der bambus,"vocab-item-005

Sheet: translation-items-v2",
857,vocab-item-006,vocab,the barrel,el barril,das fass,"vocab-item-006

Sheet: translation-items-v2",
858,vocab-item-007,vocab,the blender,la licuadora,der mixer,"vocab-item-007

Sheet: translation-items-v2",
859,vocab-item-008,vocab,the blower,el soplador,das gebläse,"vocab-item-008

Sheet: translation-items-v2",
860,vocab-item-009,vocab,the bouquet,el ramo,der blumenstrauß,"vocab-item-009

Sheet: translation-items-v2",
861,vocab-item-010,vocab,the buffet,el bufé,das buffet,"vocab-item-010

Sheet: translation-items-v2",
862,vocab-item-011,vocab,the bulldozer,la excavadora,die planierraupe,"vocab-item-011

Sheet: translation-items-v2",
863,vocab-item-012,vocab,the cake,el pastel,der kuchen,"vocab-item-012

Sheet: translation-items-v2",
864,vocab-item-013,vocab,the caramel,el caramelo,das karamell,"vocab-item-013

Sheet: translation-items-v2",
865,vocab-item-014,vocab,the carousel,el carrusel,das karussell,"vocab-item-014

Sheet: translation-items-v2",
866,vocab-item-015,vocab,the carrot,la zanahoria,die karotte,"vocab-item-015

Sheet: translation-items-v2",
867,vocab-item-016,vocab,the cassette,el casete,die kassette,"vocab-item-016

Sheet: translation-items-v2",
868,vocab-item-017,vocab,the cheese,el queso,der käse,"vocab-item-017

Sheet: translation-items-v2",
869,vocab-item-018,vocab,the cloak,la capucha,der mantel,"vocab-item-018

Sheet: translation-items-v2",
870,vocab-item-019,vocab,the clothespin,la pinza para la ropa,die wäscheklammer,"vocab-item-019

Sheet: translation-items-v2",
871,vocab-item-020,vocab,the coaster,el portavasos,der untersetzer,"vocab-item-020

Sheet: translation-items-v2",
872,vocab-item-021,vocab,the cork,el corcho,der korken,"vocab-item-021

Sheet: translation-items-v2",
873,vocab-item-022,vocab,the cornbread,el pan de maíz,das maisbrot,"vocab-item-022

Sheet: translation-items-v2",
874,vocab-item-023,vocab,the corset,el corsé,das korsett,"vocab-item-023

Sheet: translation-items-v2",
875,vocab-item-024,vocab,the dumpling,el dumpling,der Teigtaschen,"vocab-item-024

Sheet: translation-items-v2",
876,vocab-item-025,vocab,the elbow,el codo,der ellbogen,"vocab-item-025

Sheet: translation-items-v2",
877,vocab-item-026,vocab,the fan,el ventilador,der ventilator,"vocab-item-026

Sheet: translation-items-v2",
878,vocab-item-027,vocab,the foam,la espuma,der schaumstoff,"vocab-item-027

Sheet: translation-items-v2",
879,vocab-item-028,vocab,the footbath,la lavapiés,das fußbad,"vocab-item-028

Sheet: translation-items-v2",
880,vocab-item-029,vocab,the fruitcake,el pastel de frutas,der obstkuchen,"vocab-item-029

Sheet: translation-items-v2",
881,vocab-item-030,vocab,the gutter,la canaleta,die dachrinne,"vocab-item-030

Sheet: translation-items-v2",
882,vocab-item-031,vocab,the hamster,el hámster,der hamster,"vocab-item-031

Sheet: translation-items-v2",
883,vocab-item-032,vocab,the hedgehog,el erizo,der igel,"vocab-item-032

Sheet: translation-items-v2",
884,vocab-item-033,vocab,the hoe,la azadilla,die hacke,"vocab-item-033

Sheet: translation-items-v2",
885,vocab-item-034,vocab,the hopscotch,la golosa,Himmel und Hölle,"vocab-item-034

Sheet: translation-items-v2",
886,vocab-item-035,vocab,the kimono,el kimono,der kimono,"vocab-item-035

Sheet: translation-items-v2",
887,vocab-item-036,vocab,the latch,el cerrojo,der riegel,"vocab-item-036

Sheet: translation-items-v2",
888,vocab-item-037,vocab,the locker,el casillero,das schließfach,"vocab-item-037

Sheet: translation-items-v2",
889,vocab-item-038,vocab,the lollipop,la chupeta,der lollipop,"vocab-item-038

Sheet: translation-items-v2",
890,vocab-item-039,vocab,the map,el mapa,die karte,"vocab-item-039

Sheet: translation-items-v2",
891,vocab-item-040,vocab,the marshmallow,el malvavisco,der marshmallow,"vocab-item-040

Sheet: translation-items-v2",
892,vocab-item-041,vocab,the net,la malla,das netz,"vocab-item-041

Sheet: translation-items-v2",
893,vocab-item-042,vocab,the oil,el aceite,das öl,"vocab-item-042

Sheet: translation-items-v2",
894,vocab-item-043,vocab,the omelet,la tortilla,das omelett,"vocab-item-043

Sheet: translation-items-v2",
895,vocab-item-044,vocab,the pie,la tarta,der kuchen,"vocab-item-044

Sheet: translation-items-v2",
896,vocab-item-045,vocab,the pistachio,el pistacho,die pistazien,"vocab-item-045

Sheet: translation-items-v2",
897,vocab-item-046,vocab,the pitcher,la jarra,der krug,"vocab-item-046

Sheet: translation-items-v2",
898,vocab-item-047,vocab,the potato,la papa,die kartoffel,"vocab-item-047

Sheet: translation-items-v2",
899,vocab-item-048,vocab,the prism,el prisma,das prisma,"vocab-item-048

Sheet: translation-items-v2",
900,vocab-item-049,vocab,the puddle,el charco,die pfütze,"vocab-item-049

Sheet: translation-items-v2",
901,vocab-item-050,vocab,the pump,la bomba de agua,die pumpe,"vocab-item-050

Sheet: translation-items-v2",
902,vocab-item-051,vocab,the rice,el arroz,der reis,"vocab-item-051

Sheet: translation-items-v2",
903,vocab-item-052,vocab,the saddle,la silla de montar,der sattel,"vocab-item-052

Sheet: translation-items-v2",
904,vocab-item-053,vocab,the sandbag,el saco de arena,der sandsack,"vocab-item-053

Sheet: translation-items-v2",
905,vocab-item-054,vocab,the scaffolding,el andamio,das gerüst,"vocab-item-054

Sheet: translation-items-v2",
906,vocab-item-055,vocab,the scoop,el cucharón,die schaufel,"vocab-item-055

Sheet: translation-items-v2",
907,vocab-item-056,vocab,the seagull,la gaviota,die möwe,"vocab-item-056

Sheet: translation-items-v2",
908,vocab-item-057,vocab,the ship,el barco,das schiff,"vocab-item-057

Sheet: translation-items-v2",
909,vocab-item-058,vocab,the shower,la ducha,die dusche,"vocab-item-058

Sheet: translation-items-v2",
910,vocab-item-059,vocab,the silverware,los cubiertos,der tafelsilber,"vocab-item-059

Sheet: translation-items-v2",
911,vocab-item-060,vocab,the sink,el lavabo,das waschbecken,"vocab-item-060

Sheet: translation-items-v2",
912,vocab-item-061,vocab,the ski,el esquí,der ski,"vocab-item-061

Sheet: translation-items-v2",
913,vocab-item-062,vocab,the sloth,el oso perozoso,das faultier,"vocab-item-062

Sheet: translation-items-v2",
914,vocab-item-063,vocab,the snail,el caracol,die schnecke,"vocab-item-063

Sheet: translation-items-v2",
915,vocab-item-064,vocab,the sorbet,el sorbete,das sorbet,"vocab-item-064

Sheet: translation-items-v2",
916,vocab-item-065,vocab,the spatula,la espátula,der Pfannenwender,"vocab-item-065

Sheet: translation-items-v2",
917,vocab-item-066,vocab,the sprinkler,el aspersor,der sprinkler,"vocab-item-066

Sheet: translation-items-v2",
918,vocab-item-067,vocab,the squash,la calabaza,der kürbis,"vocab-item-067

Sheet: translation-items-v2",
919,vocab-item-068,vocab,the squirrel,la ardilla,das eichhörnchen,"vocab-item-068

Sheet: translation-items-v2",
920,vocab-item-069,vocab,the stew,el guiso,der Eintopf,"vocab-item-069

Sheet: translation-items-v2",
921,vocab-item-070,vocab,the rubber band,la banda elástica,das Gummiband,"vocab-item-070

Sheet: translation-items-v2",
922,vocab-item-071,vocab,the stump,el tocón,der baumstumpf,"vocab-item-071

Sheet: translation-items-v2",
923,vocab-item-072,vocab,the sunflower,el girasol,die sonnenblume,"vocab-item-072

Sheet: translation-items-v2",
924,vocab-item-073,vocab,the swordfish,el pez espada,der schwertfisch,"vocab-item-073

Sheet: translation-items-v2",
925,vocab-item-074,vocab,the tapestry,el tapiz,der wandteppich,"vocab-item-074

Sheet: translation-items-v2",
926,vocab-item-075,vocab,the teabag,la bolsa de té,der teebeutel,"vocab-item-075

Sheet: translation-items-v2",
927,vocab-item-076,vocab,the telescope,el telescopio,der teleskop,"vocab-item-076

Sheet: translation-items-v2",
928,vocab-item-077,vocab,the thermos,el termo,die thermoskanne,"vocab-item-077

Sheet: translation-items-v2",
929,vocab-item-078,vocab,the treasure,el tesoro,der schatz,"vocab-item-078

Sheet: translation-items-v2",
930,vocab-item-079,vocab,the trumpet,la trompeta,die trompete,"vocab-item-079

Sheet: translation-items-v2",
931,vocab-item-080,vocab,the tulip,el tulipán,die tulpe,"vocab-item-080

Sheet: translation-items-v2",
932,vocab-item-081,vocab,the turbine,la turbina,die turbine,"vocab-item-081

Sheet: translation-items-v2",
933,vocab-item-082,vocab,the turkey,el pavo,der truthahn,"vocab-item-082

Sheet: translation-items-v2",
934,vocab-item-083,vocab,the turtle,la tortuga,die schildkröte,"vocab-item-083

Sheet: translation-items-v2",
935,vocab-item-084,vocab,the typewriter,la máquina de escribir,die schreibmaschine,"vocab-item-084

Sheet: translation-items-v2",
936,vocab-item-085,vocab,the watermelon,la sandía,die wassermelone,"vocab-item-085

Sheet: translation-items-v2",
937,vocab-item-086,vocab,the waterwheel,la rueda hidráulica,das wasserrad,"vocab-item-086

Sheet: translation-items-v2",
938,vocab-item-087,vocab,the ant,la hormiga,die ameise,"vocab-item-087

Sheet: translation-items-v2",
939,vocab-item-088,vocab,the ball,la pelota,der kugel,"vocab-item-088

Sheet: translation-items-v2",
940,vocab-item-089,vocab,the bear,el oso,der bär,"vocab-item-089

Sheet: translation-items-v2",
941,vocab-item-090,vocab,the duck,el pato,die ente,"vocab-item-090

Sheet: translation-items-v2",
942,vocab-item-091,vocab,the fork,el tenedor,die gabel,"vocab-item-091

Sheet: translation-items-v2",
943,vocab-item-092,vocab,the kitten,el gatito,das kätzchen,"vocab-item-092

Sheet: translation-items-v2",
944,vocab-item-093,vocab,the knee,la rodilla,das knie,"vocab-item-093

Sheet: translation-items-v2",
945,vocab-item-094,vocab,the milkshake,la malteada,der milchshake,"vocab-item-094

Sheet: translation-items-v2",
946,vocab-item-095,vocab,the skin,la piel,der haut,"vocab-item-095

Sheet: translation-items-v2",
947,vocab-item-096,vocab,the wall,el muro,die wand,"vocab-item-096

Sheet: translation-items-v2",
948,vocab-item-097,vocab,the wheel,la rueda,das rad,"vocab-item-097

Sheet: translation-items-v2",
949,vocab-item-098,vocab,the farm,la granja,der bauernhof,"vocab-item-098

Sheet: translation-items-v2",
950,vocab-item-099,vocab,juggling,el malabarismo,der jonglieren,"vocab-item-099

Sheet: translation-items-v2",
951,vocab-item-100,vocab,the dressing,el aderezo,der Dressing,"vocab-item-100

Sheet: translation-items-v2",
952,vocab-item-101,vocab,the roof,el techo,das dach,"vocab-item-101

Sheet: translation-items-v2",
953,vocab-item-102,vocab,peeking,espiando,spähen,"vocab-item-102

Sheet: translation-items-v2",
954,vocab-item-103,vocab,the ruler,la regla,das lineal,"vocab-item-103

Sheet: translation-items-v2",
955,vocab-item-104,vocab,the tunnel,el túnel,der tunnel,"vocab-item-104

Sheet: translation-items-v2",
956,vocab-item-105,vocab,the envelope,el sobre,der umschlag,"vocab-item-105

Sheet: translation-items-v2",
957,vocab-item-106,vocab,the diamond,el diamante,der diamant,"vocab-item-106

Sheet: translation-items-v2",
958,vocab-item-107,vocab,the calendar,el calendario,der kalender,"vocab-item-107

Sheet: translation-items-v2",
959,vocab-item-108,vocab,the panda,el panda,der panda,"vocab-item-108

Sheet: translation-items-v2",
